program,name
11,Strings
12,Acoustic Piano
13,Synthe Brass
14,Flute with Chiff
15,Resonant Sweep
16,Bowed Cellos
17,Full Organ
18,Fat Synthe
21,Percussive Synthe
22,Muted Brass
23,Square Wave Lead
24,1999
25,Low Strings
26,Percussive Synthe (2)
27,Bright Perc. Organ
28,Science Bass
31,Lambda
32,OB Cross
33,High Strings
34,Double Crescendo Bass
35,Synthe Bass I
36,Reverse Bowed Synthe
37,Jazz Guitar
38,Helicopter
41,Double Tongued Bass
42,Synful Eyes
43,Wet Ones
44,Science Strings
45,Synthe Bass II
46,Crescendo Brass
47,Chorus Piano
48,Jet Plane
51,Synthenelli
52,Synthe Flute/Brass
53,Synthicord I
54,Synthicord II
55,Saxo-Brass
56,Square Wave Ensemble
57,Chime Piano
58,Pipe Organ
61,Bowed Violas
62,Digi-Brass
63,Organ Upper Manual
64,Obi Brass
65,Soft Piano
66,Reverse Sweep
67,Accordion
68,Steel Drums
71,8-Note Brass
72,Honky Keys
73,Organ Lower Manual
74,8-Note Strings
75,Reso Synthe
76,Echo Synthe
77,Black Hole
78,Trilling Pipes
81,Brass in 5ths
82,Percussive Pipe Organ
83,Lunar Flutes
84,Synthe Bass III
85,Vibes
86,Low Flute
87,Who Me?
88,UFO Swoop
